Date,ShortWave,LongWave,AirTemp,RelHum,Windspeed,Rain,Snow
2016-01-01 00:00,0,240.0316449,3.9,67.6,4.59,0,0
2016-01-01 01:00,0,239.5099859,4.2,68,4.76,0,0
2016-01-01 02:00,0,233.8152083,4.2,66.3,4.93,0,0
2016-01-01 03:00,0,237.8083839,2.7,72.5,2.38,0,0
2016-01-01 04:00,0,230.815669,2.8,73.7,2.21,0,0
2016-01-01 05:00,0,238.7958098,2.2,77.9,2.04,0,0
2016-01-01 06:00,0,232.1136063,2,78.7,3.23,0,0
2016-01-01 07:00,0,249.9369559,2.2,79.5,4.76,0,0
2016-01-01 08:00,0,255.53858,1.9,83.4,4.08,0,0
2016-01-01 09:00,0,265.3786836,2.3,80.9,4.93,0,0
2016-01-01 10:00,21.11111111,275.9578042,2.4,80.6,4.25,0,0
2016-01-01 11:00,50.83333306,283.3479735,3.4,76.1,3.91,0,0
2016-01-01 12:00,74.72222194,287.5429814,4.2,74.6,4.08,0,0
2016-01-01 13:00,70.83333306,286.049422,4.9,74.4,4.93,0,0
2016-01-01 14:00,75.83333306,290.9368701,5,75.2,5.61,0,0
2016-01-01 15:00,46.11111111,292.4863216,5.5,71.8,7.48,0,0
2016-01-01 16:00,15,304.2671209,5.2,72.9,7.82,0,0
2016-01-01 17:00,0,310.4059296,5,70.8,7.82,0.0016,0
2016-01-01 18:00,0,316.0541305,4.6,81.5,6.8,0.008,0
2016-01-01 19:00,0,318.1997637,5,84,6.97,0.008,0
2016-01-01 20:00,0,322.9661124,5.4,86.4,6.46,0.0128,0
2016-01-01 21:00,0,322.8512232,5.5,86.5,5.27,0.0416,0
2016-01-01 22:00,0,306.1457144,5.7,85.6,7.31,0.0048,0
2016-01-01 23:00,0,304.7515186,6.7,82.9,8.33,0,0
2016-01-02 00:00,0,319.9262066,6.4,85.1,7.99,0.008,0
2016-01-02 01:00,0,329.3688557,6.3,87.9,7.14,0.0144,0
2016-01-02 02:00,0,332.6447501,6.3,87.9,7.48,0.0112,0
2016-01-02 03:00,0,335.1071049,6.8,86.2,6.63,0.0048,0
2016-01-02 04:00,0,337.4576755,7.2,86.9,7.48,0.0048,0
2016-01-02 05:00,0,339.0971753,7.2,88.9,5.61,0.0048,0
2016-01-02 06:00,0,340.3423257,7.5,86.7,5.95,0,0
2016-01-02 07:00,0,339.5505218,7.4,87.6,5.1,0,0
2016-01-02 08:00,0,341.6371578,7.4,89.5,5.78,0,0
