time,FLOW
2016-01-01 00:00:00,2.64082
2016-01-02 00:00:00,2.43061
2016-01-03 00:00:00,2.44699
2016-01-04 00:00:00,2.3569
2016-01-05 00:00:00,2.28592
2016-01-06 00:00:00,2.00837
2016-01-07 00:00:00,2.06661
2016-01-08 00:00:00,1.93011
2016-01-09 00:00:00,2.22131
2016-01-10 00:00:00,2.71453
2016-01-11 00:00:00,2.39148
2016-01-12 00:00:00,2.01292
2016-01-13 00:00:00,1.89189
2016-01-14 00:00:00,1.93102
2016-01-15 00:00:00,1.67986
2016-01-16 00:00:00,1.43234
2016-01-17 00:00:00,1.20757
2016-01-18 00:00:00,1.01465
2016-01-19 00:00:00,0.87906
2016-01-20 00:00:00,0.76531
2016-01-21 00:00:00,0.75166
2016-01-22 00:00:00,1.89553
2016-01-23 00:00:00,2.14487
2016-01-24 00:00:00,2.40422
2016-01-25 00:00:00,2.13759
2016-01-26 00:00:00,3.05851
2016-01-27 00:00:00,3.79925
2016-01-28 00:00:00,3.43161
2016-01-29 00:00:00,3.04486
2016-01-30 00:00:00,2.45245
2016-01-31 00:00:00,2.2204
2016-02-01 00:00:00,2.44244
2016-02-02 00:00:00,2.06661
2016-02-03 00:00:00,1.75175
2016-02-04 00:00:00,1.68259
2016-02-05 00:00:00,1.73446
2016-02-06 00:00:00,2.03112
2016-02-07 00:00:00,2.22859
2016-02-08 00:00:00,2.77732
2016-02-09 00:00:00,3.22049
2016-02-10 00:00:00,2.63809
2016-02-11 00:00:00,2.06752
2016-02-12 00:00:00,1.64528
2016-02-13 00:00:00,1.30312
2016-02-14 00:00:00,1.02739
2016-02-15 00:00:00,0.80808
2016-02-16 00:00:00,0.79352
2016-02-17 00:00:00,1.49968
2016-02-18 00:00:00,1.42961
2016-02-19 00:00:00,1.64528
2016-02-20 00:00:00,2.12121
2016-02-21 00:00:00,2.48794
2016-02-22 00:00:00,2.32141
2016-02-23 00:00:00,1.89644
2016-02-24 00:00:00,1.53881
2016-02-25 00:00:00,1.23032
2016-02-26 00:00:00,0.97552
2016-02-27 00:00:00,0.80171
2016-02-28 00:00:00,0.6734
2016-02-29 00:00:00,0.88361
2016-03-01 00:00:00,2.91109
2016-03-02 00:00:00,2.68359
2016-03-03 00:00:00,2.22586
2016-03-04 00:00:00,2.1021
2016-03-05 00:00:00,1.80089
2016-03-06 00:00:00,1.48785
2016-03-07 00:00:00,1.20211
2016-03-08 00:00:00,1.04195
2016-03-09 00:00:00,0.90181
2016-03-10 00:00:00,0.79443
2016-03-11 00:00:00,0.68068
2016-03-12 00:00:00,0.58786
2016-03-13 00:00:00,0.51688
2016-03-14 00:00:00,0.45409
2016-03-15 00:00:00,0.4004
2016-03-16 00:00:00,0.35763
2016-03-17 00:00:00,0.32396
2016-03-18 00:00:00,0.29484
2016-03-19 00:00:00,0.273
2016-03-20 00:00:00,0.25207
