time,temp,salt,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHY_TCHLA,OGM_dop,OGM_don,OGM_pop,OGM_pon,TP_vars,SDF_Fsed_frp
2016-01-01 24:00:00,    6.485228,    0.000000,  219.124392,   49.000000,    2.010830,   30.480090,    0.300400,    5.661833,    0.168804,    0.107204,    0.182063,    0.101330,-9999.000000,-9999.000000
2016-01-02 24:00:00,    6.440564,    0.000001,  224.155939,   48.862546,    2.107068,   31.035194,    0.325435,    5.287312,    0.143487,    0.110590,    0.159486,    0.098988,-9999.000000,-9999.000000
2016-01-03 24:00:00,    6.371444,    0.000005,  220.852331,   48.590298,    2.190832,   31.586124,    0.345583,    4.955678,    0.122665,    0.113287,    0.140413,    0.097371,-9999.000000,-9999.000000
2016-01-04 24:00:00,    6.262283,    0.000005,  224.925958,   48.524458,    2.273900,   32.354235,    0.363721,    4.691664,    0.106301,    0.115785,    0.124046,    0.096085,-9999.000000,-9999.000000
2016-01-05 24:00:00,    6.187841,    0.000006,  223.986393,   48.379070,    2.345916,   33.174267,    0.378806,    4.466262,    0.092909,    0.117315,    0.109404,    0.094549,-9999.000000,-9999.000000
2016-01-06 24:00:00,    6.085821,    0.000006,  221.413159,   48.375520,    2.408714,   33.910866,    0.392226,    4.237253,    0.081896,    0.118730,    0.097553,    0.093884,-9999.000000,-9999.000000
2016-01-07 24:00:00,    5.881349,    0.000009,  240.207220,   48.189494,    2.465856,   34.877853,    0.402950,    4.051481,    0.072962,    0.118491,    0.086013,    0.091920,-9999.000000,-9999.000000
2016-01-08 24:00:00,    5.665633,    0.000010,  239.918448,   48.120645,    2.514371,   35.712247,    0.412242,    3.890518,    0.065427,    0.118461,    0.076602,    0.090608,-9999.000000,-9999.000000
2016-01-09 24:00:00,    5.583472,    0.000013,  236.823003,   47.944481,    2.550100,   36.453181,    0.418803,    3.706932,    0.058891,    0.117584,    0.068321,    0.089188,-9999.000000,-9999.000000
2016-01-10 24:00:00,    5.445101,    0.000015,  260.992013,   47.718191,    2.582610,   37.306642,    0.424270,    3.630468,    0.053495,    0.116246,    0.060659,    0.087181,-9999.000000,-9999.000000
2016-01-11 24:00:00,    5.291586,    0.000015,  256.221774,   47.641097,    2.618862,   38.544317,    0.429131,    3.539968,    0.049479,    0.114229,    0.053780,    0.084890,-9999.000000,-9999.000000
2016-01-12 24:00:00,    5.117538,    0.000017,  259.035870,   47.546940,    2.643363,   39.731547,    0.431952,    3.379014,    0.045974,    0.111664,    0.047583,    0.082316,-9999.000000,-9999.000000
2016-01-13 24:00:00,    4.925241,    0.000019,  259.566023,   47.379974,    2.660908,   40.707129,    0.434188,    3.312711,    0.042613,    0.109508,    0.042343,    0.080097,-9999.000000,-9999.000000
2016-01-14 24:00:00,    4.669663,    0.000020,  257.967841,   47.226178,    2.674817,   41.551309,    0.436095,    3.279017,    0.039474,    0.107705,    0.037885,    0.078205,-9999.000000,-9999.000000
2016-01-15 24:00:00,    4.384210,    0.000019,  259.448688,   47.109985,    2.686873,   42.425356,    0.437575,    3.269825,    0.036798,    0.106060,    0.034007,    0.076430,-9999.000000,-9999.000000
2016-01-16 24:00:00,    4.226473,    0.000019,  253.799236,   47.008812,    2.693795,   43.228693,    0.438261,    3.240702,    0.034360,    0.104521,    0.030595,    0.074739,-9999.000000,-9999.000000
2016-01-17 24:00:00,    4.082366,    0.000020,  254.238399,   46.875740,    2.696386,   43.848092,    0.438474,    3.210064,    0.031945,    0.103282,    0.027649,    0.073333,-9999.000000,-9999.000000
2016-01-18 24:00:00,    3.919925,    0.000020,  258.492540,   46.532452,    2.697611,   44.378102,    0.438780,    3.615281,    0.029605,    0.102453,    0.021959,    0.063400,-9999.000000,-9999.000000
2016-01-19 24:00:00,    4.069641,    0.000019,  250.699329,   46.449036,    2.695146,   45.133778,    0.437707,    3.334616,    0.027765,    0.101418,    0.021328,    0.067076,-9999.000000,-9999.000000
2016-01-20 24:00:00,    3.439748,    0.000018,  246.947429,   46.360737,    2.657052,   47.615497,    0.429341,    4.454712,    0.028472,    0.096486,    0.011981,    0.042092,-9999.000000,-9999.000000
2016-01-21 24:00:00,    3.880762,    0.000020,  258.207173,   46.300786,    2.704210,   45.219745,    0.439325,    3.233597,    0.023241,    0.101510,    0.019033,    0.069749,-9999.000000,-9999.000000
2016-01-22 24:00:00,    3.960261,    0.000022,  277.586916,   46.076349,    2.699784,   45.304115,    0.438242,    3.197730,    0.021432,    0.101269,    0.017463,    0.069281,-9999.000000,-9999.000000
2016-01-23 24:00:00,    4.038489,    0.000022,  285.171981,   45.910951,    2.693736,   45.865664,    0.436269,    3.208208,    0.020345,    0.100501,    0.015957,    0.068482,-9999.000000,-9999.000000
2016-01-24 24:00:00,    4.279570,    0.000022,  294.345158,   45.917371,    2.680110,   46.912397,    0.432450,    3.095904,    0.019905,    0.098806,    0.014467,    0.067156,-9999.000000,-9999.000000
2016-01-25 24:00:00,    4.433197,    0.000023,  305.172066,   45.886006,    2.661264,   48.088676,    0.427620,    2.980372,    0.019621,    0.096679,    0.013074,    0.065627,-9999.000000,-9999.000000
2016-01-26 24:00:00,    4.619084,    0.000030,  324.512664,   45.587678,    2.624787,   48.924449,    0.420128,    2.810636,    0.019162,    0.093882,    0.011755,    0.063722,-9999.000000,-9999.000000
2016-01-27 24:00:00,    4.756475,    0.000033,  330.178121,   45.381565,    2.596936,   50.169048,    0.413733,    2.751784,    0.018974,    0.091107,    0.010585,    0.061889,-9999.000000,-9999.000000
2016-01-28 24:00:00,    4.761924,    0.000035,  332.366123,   45.276857,    2.562528,   51.998581,    0.405578,    2.655169,    0.019372,    0.087434,    0.009449,    0.059447,-9999.000000,-9999.000000
2016-01-29 24:00:00,    4.958074,    0.000035,  343.348455,   45.151212,    2.530271,   53.977464,    0.397699,    2.629227,    0.019729,    0.083783,    0.008438,    0.057049,-9999.000000,-9999.000000
2016-01-30 24:00:00,    4.678263,    0.000035,  345.948915,   45.124334,    2.507358,   55.792392,    0.391626,    2.587941,    0.019738,    0.080883,    0.007603,    0.055121,-9999.000000,-9999.000000
2016-01-31 24:00:00,    4.731920,    0.000035,  337.520863,   44.995633,    2.486268,   57.213415,    0.386240,    2.567227,    0.019362,    0.078568,    0.006902,    0.053536,-9999.000000,-9999.000000
2016-02-01 24:00:00,    4.894363,    0.000036,  351.582638,   44.854405,    2.470501,   58.371321,    0.382009,    2.559938,    0.018679,    0.076854,    0.006318,    0.052385,-9999.000000,-9999.000000
2016-02-02 24:00:00,    4.703845,    0.000035,  359.331721,   44.772767,    2.458745,   59.624893,    0.378271,    2.565577,    0.018103,    0.075422,    0.005807,    0.051381,-9999.000000,-9999.000000
2016-02-03 24:00:00,    4.652765,    0.000034,  352.766575,   44.588823,    2.446638,   60.817326,    0.374381,    2.634281,    0.017556,    0.074197,    0.005354,    0.050452,-9999.000000,-9999.000000
2016-02-04 24:00:00,    4.764739,    0.000034,  347.184160,   44.455628,    2.436057,   61.735262,    0.372749,    2.625319,    0.017451,    0.073400,    0.004969,    0.049803,-9999.000000,-9999.000000
2016-02-05 24:00:00,    4.875018,    0.000036,  349.071915,   44.244591,    2.422793,   62.402714,    0.373893,    2.606261,    0.018233,    0.072785,    0.004632,    0.049328,-9999.000000,-9999.000000
2016-02-06 24:00:00,    4.854769,    0.000038,  344.821676,   44.086280,    2.411980,   63.121876,    0.378550,    2.587751,    0.019982,    0.072345,    0.004335,    0.048943,-9999.000000,-9999.000000
2016-02-07 24:00:00,    4.780723,    0.000039,  348.422179,   43.858804,    2.398787,   63.936469,    0.386993,    2.622345,    0.023065,    0.071792,    0.004057,    0.048459,-9999.000000,-9999.000000
2016-02-08 24:00:00,    4.833633,    0.000042,  350.073465,   43.617828,    2.382236,   64.874893,    0.400219,    2.661433,    0.027703,    0.071047,    0.003796,    0.047844,-9999.000000,-9999.000000
2016-02-09 24:00:00,    4.761641,    0.000042,  345.066840,   43.451801,    2.366158,   66.143880,    0.420819,    2.714191,    0.034504,    0.070164,    0.003551,    0.047124,-9999.000000,-9999.000000
2016-02-10 24:00:00,    4.656538,    0.000041,  334.162997,   43.399187,    2.352212,   67.896357,    0.451697,    2.797985,    0.044256,    0.069139,    0.003319,    0.046269,-9999.000000,-9999.000000
2016-02-11 24:00:00,    4.618949,    0.000040,  323.616803,   42.952715,    2.339297,   69.563853,    0.486695,    3.273897,    0.053644,    0.068497,    0.002947,    0.043096,-9999.000000,-9999.000000
2016-02-12 24:00:00,    4.445276,    0.000038,  314.495332,   43.238523,    2.332845,   70.837709,    0.520906,    2.981155,    0.060332,    0.068424,    0.002977,    0.045473,-9999.000000,-9999.000000
2016-02-13 24:00:00,    4.217828,    0.000038,  310.470826,   43.149179,    2.329190,   71.799138,    0.552272,    3.045183,    0.064321,    0.069078,    0.002866,    0.045648,-9999.000000,-9999.000000
2016-02-14 24:00:00,    4.021755,    0.000036,  308.701972,   42.918385,    2.327924,   72.522034,    0.581352,    3.195668,    0.066535,    0.070252,    0.002782,    0.046069,-9999.000000,-9999.000000
2016-02-15 24:00:00,    3.882533,    0.000035,  311.507803,   42.161113,    2.328180,   73.084667,    0.607327,    3.807437,    0.067218,    0.071970,    0.002577,    0.044302,-9999.000000,-9999.000000
2016-02-16 24:00:00,    3.827325,    0.000037,  314.987644,   42.205708,    2.327735,   73.278654,    0.629960,    3.564354,    0.066373,    0.073906,    0.002681,    0.047617,-9999.000000,-9999.000000
2016-02-17 24:00:00,    3.821570,    0.000040,  320.279204,   41.641849,    2.321199,   73.253068,    0.649501,    3.781274,    0.065019,    0.076069,    0.002560,    0.046931,-9999.000000,-9999.000000
2016-02-18 24:00:00,    3.596156,    0.000039,  315.434904,   41.319204,    2.313165,   74.828435,    0.712627,    4.356762,    0.084191,    0.076528,    0.002214,    0.041838,-9999.000000,-9999.000000
2016-02-19 24:00:00,    3.836340,    0.000041,  321.595564,   41.096180,    2.326256,   74.149588,    0.712984,    3.947605,    0.072931,    0.080417,    0.002614,    0.050608,-9999.000000,-9999.000000
2016-02-20 24:00:00,    3.880765,    0.000042,  329.213629,   40.753490,    2.331818,   74.477370,    0.748395,    4.003572,    0.077882,    0.082502,    0.002606,    0.051643,-9999.000000,-9999.000000
2016-02-21 24:00:00,    4.043572,    0.000043,  330.546007,   40.206343,    2.340765,   74.747740,    0.789376,    4.138662,    0.085055,    0.084271,    0.002595,    0.052511,-9999.000000,-9999.000000
2016-02-22 24:00:00,    3.925589,    0.000042,  330.389019,   39.465386,    2.363542,   75.212253,    0.839803,    4.556634,    0.095071,    0.085940,    0.002482,    0.051145,-9999.000000,-9999.000000
2016-02-23 24:00:00,    4.029086,    0.000041,  321.559969,   38.643418,    2.393218,   75.486303,    0.890714,    4.753700,    0.103899,    0.087776,    0.002554,    0.053457,-9999.000000,-9999.000000
2016-02-24 24:00:00,    4.697860,    0.000037,  305.155349,   36.966379,    2.450995,   75.904465,    0.976794,    5.161786,    0.129721,    0.087622,    0.001944,    0.041325,-9999.000000,-9999.000000
2016-02-25 24:00:00,    3.921192,    0.000035,  307.253893,   36.955262,    2.461595,   75.384081,    0.979071,    5.548153,    0.111531,    0.092956,    0.002407,    0.051667,-9999.000000,-9999.000000
2016-02-26 24:00:00,    3.913759,    0.000034,  305.228203,   35.621192,    2.506061,   75.110873,    1.024683,    6.162324,    0.116569,    0.095824,    0.002411,    0.052286,-9999.000000,-9999.000000
2016-02-27 24:00:00,    3.598766,    0.000032,  296.056724,   33.589549,    2.596502,   74.450183,    1.103766,    7.444357,    0.142259,    0.095899,    0.001900,    0.041636,-9999.000000,-9999.000000
2016-02-28 24:00:00,    4.027127,    0.000032,  299.478704,   31.644391,    2.605952,   74.114833,    1.116067,    8.071299,    0.124363,    0.103703,    0.001842,    0.040845,-9999.000000,-9999.000000
2016-02-29 24:00:00,    3.951417,    0.000034,  304.601798,   33.698554,    2.582658,   73.689078,    1.077968,    6.203798,    0.092490,    0.112245,    0.003013,    0.066588,-9999.000000,-9999.000000
2016-03-01 24:00:00,    4.190592,    0.000040,  318.217389,   32.399905,    2.594380,   72.543489,    1.088486,    6.504057,    0.087044,    0.117312,    0.003140,    0.069653,-9999.000000,-9999.000000
2016-03-02 24:00:00,    4.235356,    0.000041,  325.656509,   30.863103,    2.655029,   71.420356,    1.119871,    6.895018,    0.092503,    0.121774,    0.003254,    0.072358,-9999.000000,-9999.000000
2016-03-03 24:00:00,    4.288384,    0.000040,  318.914275,   29.192992,    2.740829,   70.032146,    1.161567,    7.206404,    0.104220,    0.125140,    0.003340,    0.074423,-9999.000000,-9999.000000
2016-03-04 24:00:00,    4.361007,    0.000042,  317.520111,   27.635578,    2.801551,   68.754568,    1.192018,    7.511296,    0.109327,    0.129085,    0.003444,    0.076833,-9999.000000,-9999.000000
2016-03-05 24:00:00,    4.304122,    0.000040,  315.554965,   26.266504,    2.855916,   67.911758,    1.218612,    7.888584,    0.110327,    0.134265,    0.003582,    0.079952,-9999.000000,-9999.000000
2016-03-06 24:00:00,    4.274294,    0.000039,  312.810192,   24.376975,    2.899744,   67.246553,    1.239181,    8.825044,    0.108706,    0.140285,    0.003685,    0.082265,-9999.000000,-9999.000000
2016-03-07 24:00:00,    4.525792,    0.000038,  315.151555,   21.509038,    2.932947,   66.684003,    1.253502,   10.792296,    0.104320,    0.147614,    0.003639,    0.081238,-9999.000000,-9999.000000
2016-03-08 24:00:00,    4.428945,    0.000038,  311.322829,   20.998836,    2.958525,   66.198483,    1.263097,   10.438703,    0.098218,    0.155879,    0.004034,    0.090057,-9999.000000,-9999.000000
2016-03-09 24:00:00,    4.400944,    0.000038,  308.804680,   20.488221,    2.979472,   65.749482,    1.268926,   10.189338,    0.091144,    0.165475,    0.004398,    0.098172,-9999.000000,-9999.000000
2016-03-10 24:00:00,    4.547264,    0.000037,  314.162748,   17.015762,    2.996821,   65.387999,    1.271088,   13.237222,    0.083945,    0.176559,    0.004039,    0.090125,-9999.000000,-9999.000000
2016-03-11 24:00:00,    4.899234,    0.000037,  318.764942,   14.219564,    3.010969,   65.112756,    1.267959,   15.165793,    0.078363,    0.188101,    0.004238,    0.094551,-9999.000000,-9999.000000
2016-03-12 24:00:00,    5.405090,    0.000036,  326.306590,   10.517606,    3.015525,   64.851405,    1.254657,   18.941806,    0.074268,    0.200991,    0.003877,    0.086641,-9999.000000,-9999.000000
2016-03-13 24:00:00,    5.658123,    0.000035,  325.049715,    7.665579,    3.004759,   64.780891,    1.225250,   23.246889,    0.072024,    0.215328,    0.003319,    0.074642,-9999.000000,-9999.000000
2016-03-14 24:00:00,    5.076568,    0.000036,  325.472364,    8.289043,    3.048885,   64.152207,    1.246409,   17.484447,    0.059562,    0.237389,    0.005619,    0.125784,-9999.000000,-9999.000000
2016-03-15 24:00:00,    5.292196,    0.000036,  334.150559,    4.884500,    3.066189,   63.738146,    1.238329,   19.570667,    0.053619,    0.256953,    0.006180,    0.138254,-9999.000000,-9999.000000
2016-03-16 24:00:00,    5.275838,    0.000035,  338.184121,    2.984086,    3.082303,   63.335607,    1.225818,   20.121962,    0.048792,    0.279653,    0.006824,    0.152798,-9999.000000,-9999.000000
2016-03-17 24:00:00,    6.062769,    0.000035,  344.842608,    0.302014,    3.103049,   62.821281,    1.212888,   23.109368,    0.044584,    0.303906,    0.006352,    0.142255,-9999.000000,-9999.000000
2016-03-18 24:00:00,    5.994196,    0.000035,  343.592983,    0.300006,    3.114685,   62.529950,    1.186569,   23.809704,    0.042117,    0.329313,    0.006116,    0.137134,-9999.000000,-9999.000000
2016-03-19 24:00:00,    5.916091,    0.000035,  344.307267,    0.300004,    3.142393,   62.054507,    1.168641,   24.132452,    0.040155,    0.358576,    0.006380,    0.143131,-9999.000000,-9999.000000
2016-03-20 24:00:00,    6.664172,    0.000034,  343.871250,    0.300001,    3.173297,   61.559238,    1.146442,   25.810071,    0.038919,    0.387865,    0.006015,    0.134896,-9999.000000,-9999.000000
2016-03-21 24:00:00,    6.021265,    0.000034,  342.954734,    0.304375,    3.240101,   61.082376,    1.153554,   20.558467,    0.037259,    0.417120,    0.008853,    0.197599,-9999.000000,-9999.000000
2016-03-22 24:00:00,    6.209094,    0.000034,  343.443619,    0.300020,    3.296217,   60.617579,    1.145096,   20.797009,    0.036382,    0.441345,    0.008908,    0.197754,-9999.000000,-9999.000000
2016-03-23 24:00:00,    5.994005,    0.000034,  342.170028,    0.300072,    3.355628,   60.193992,    1.135300,   19.604011,    0.035990,    0.463900,    0.010232,    0.225858,-9999.000000,-9999.000000
2016-03-24 24:00:00,    5.785648,    0.000035,  333.492357,    1.305135,    3.436941,   59.652572,    1.171563,   15.325203,    0.033025,    0.441155,    0.012453,    0.273284,-9999.000000,-9999.000000
2016-03-25 24:00:00,    6.015922,    0.000035,  337.073843,    0.432669,    3.501093,   59.210014,    1.166775,   15.279401,    0.032564,    0.452157,    0.013083,    0.285426,-9999.000000,-9999.000000
2016-03-26 24:00:00,    6.015959,    0.000039,  345.477052,    0.305016,    3.551877,   58.517443,    1.157221,   14.664586,    0.032109,    0.458455,    0.013582,    0.294411,-9999.000000,-9999.000000
2016-03-27 24:00:00,    5.962759,    0.000041,  352.748747,    0.300924,    3.611082,   57.956557,    1.150756,   14.026377,    0.031850,    0.463168,    0.014045,    0.302415,-9999.000000,-9999.000000
2016-03-28 24:00:00,    6.064887,    0.000041,  352.781723,    0.301609,    3.680856,   57.549646,    1.147694,   13.456344,    0.031831,    0.466379,    0.014487,    0.309776,-9999.000000,-9999.000000
